,last_reported,station_id,Available bikes,Mechanical bikes,Ebike,weekday,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,Latlon,Barri,Districte,Municipi
39,2020-01-11,2,14.425087108013937,14.017421602787456,0.4076655052264808,Saturday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
40,2020-01-12,2,13.034843205574912,12.634146341463415,0.40069686411149824,Sunday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
41,2020-01-13,2,9.304498269896193,9.086505190311419,0.2179930795847751,Monday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
42,2020-01-14,2,6.652777777777778,6.114583333333333,0.5381944444444444,Tuesday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
43,2020-01-15,2,14.121527777777779,13.90625,0.2152777777777778,Wednesday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
44,2020-01-16,2,16.11111111111111,15.739583333333334,0.3715277777777778,Thursday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
45,2020-01-17,2,12.03125,11.434027777777779,0.5972222222222222,Friday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
46,2020-01-18,2,10.520833333333334,10.319444444444445,0.2013888888888889,Saturday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
47,2020-01-19,2,15.628472222222221,15.538194444444445,0.09027777777777778,Sunday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
48,2020-01-20,2,9.04861111111111,8.663194444444445,0.3854166666666667,Monday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
49,2020-01-21,2,13.739583333333334,13.45138888888889,0.2881944444444444,Tuesday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
50,2020-01-22,2,10.319444444444445,9.878472222222221,0.4409722222222222,Wednesday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
51,2020-01-23,2,10.836805555555555,10.597222222222221,0.23958333333333334,Thursday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
52,2020-01-24,2,10.968641114982578,10.658536585365853,0.31010452961672474,Friday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
53,2020-01-27,2,4.984615384615385,4.856410256410256,0.1282051282051282,Monday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
54,2020-01-28,2,8.743055555555555,8.347222222222221,0.3958333333333333,Tuesday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
55,2020-01-29,2,10.71875,10.3125,0.40625,Wednesday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
56,2020-01-30,2,10.70486111111111,9.711805555555555,0.9930555555555556,Thursday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
57,2020-01-31,2,7.512195121951219,7.080139372822299,0.43205574912891986,Friday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
58,2020-01-01,3,12.89236111111111,12.82638888888889,0.06597222222222222,Wednesday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
59,2020-01-02,3,10.399305555555555,10.260416666666666,0.1388888888888889,Thursday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
60,2020-01-03,3,7.59375,7.440972222222222,0.1527777777777778,Friday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
61,2020-01-04,3,4.003472222222222,3.8854166666666665,0.11805555555555555,Saturday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
62,2020-01-05,3,11.194444444444445,10.850694444444445,0.34375,Sunday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
63,2020-01-06,3,14.84375,14.614583333333334,0.22916666666666666,Monday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
64,2020-01-07,3,12.5625,12.17361111111111,0.3888888888888889,Tuesday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
65,2020-01-08,3,16.15625,15.979166666666666,0.17708333333333334,Wednesday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
66,2020-01-09,3,9.29965156794425,8.975609756097562,0.3240418118466899,Thursday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
67,2020-01-10,3,10.176470588235293,9.875432525951558,0.30103806228373703,Friday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
68,2020-01-11,3,12.282229965156795,11.668989547038327,0.6132404181184669,Saturday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
69,2020-01-12,3,4.947916666666667,4.40625,0.5416666666666666,Sunday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
70,2020-01-13,3,10.635416666666666,10.53125,0.10416666666666667,Monday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
71,2020-01-14,3,13.53125,12.927083333333334,0.6041666666666666,Tuesday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
